category,byte_offset,bit_offset,bit_in_byte,bit_length,data_type,source_field,public_name,description,unit,conversion_or_status_map
Packet metadata,0,0,0,3,U3,VERSION,ccsds_version,CCSDS Space Packet version number.,dimensionless,
Packet metadata,0,3,3,1,U1,TYPE,ccsds_packet_type,CCSDS packet type; telemetry is expected for the beacon.,dimensionless,
Packet metadata,0,4,4,1,U1,SEC_HDR_FLAG,ccsds_secondary_header_flag,Indicates presence of the SunCET secondary time header.,dimensionless,
Packet metadata,0,5,5,11,U11,PKT_APID,ccsds_apid,CCSDS application process identifier; expected value is 1.,dimensionless,
Packet metadata,2,16,0,2,U2,SEQ_FLGS,ccsds_sequence_flags,CCSDS packet sequence flags.,dimensionless,
Packet metadata,2,18,2,14,U14,SEQ_CTR,ccsds_sequence_count,CCSDS packet sequence counter.,count,
Packet metadata,4,32,0,16,U16,PKT_LEN,ccsds_packet_length_field,CCSDS packet length field: bytes after the primary header minus one.,bytes,
Time,6,48,0,32,U32,ccsdsSecHeader2_sec_beacon,spacecraft_time_seconds_since_2000,Whole seconds elapsed since 2000-01-01T00:00:00Z.,s,
Time,10,80,0,16,U16,ccsdsSecHeader2_sub_beacon,spacecraft_time_milliseconds,Integer milliseconds after the coarse whole second; valid values are 0 through 999.,ms,
Internal storage,12,96,0,32,U32,sw_store_partition_write_adcs_beac,partition_write_adcs,Current write pointer in the NAND ADCS partition.,raw address,
Internal storage,16,128,0,32,U32,sw_store_partition_read_adcs_beac,partition_read_adcs,Current read pointer in the NAND ADCS partition.,raw address,
Internal storage,20,160,0,32,U32,sw_store_partition_write_hk_beac,partition_write_hk,Current write pointer in the NAND housekeeping partition.,raw address,
Internal storage,24,192,0,32,U32,sw_store_partition_read_hk_beac,partition_read_hk,Current read pointer in the NAND housekeeping partition.,raw address,
Internal storage,28,224,0,32,U32,sw_store_partition_write_sci_beac,partition_write_sci,Current write pointer in the NAND science partition.,raw address,
Internal storage,32,256,0,32,U32,sw_store_partition_read_sci_beac,partition_read_sci,Current read pointer in the NAND science partition.,raw address,
Internal storage,36,288,0,32,U32,sw_store_partition_write_dsps_beac,partition_write_dsps,Current write pointer in the NAND Dual-SPS partition.,raw address,
Internal storage,40,320,0,32,U32,sw_store_partition_read_dsps_beac,partition_read_dsps,Current read pointer in the NAND Dual-SPS partition.,raw address,
Internal storage,44,352,0,32,U32,beac_store_partition_write_log,store_partition_write_log,Current write pointer in the NAND log partition.,raw address,
Internal storage,48,384,0,32,U32,beac_csie_nand_sci_write_ptr,csie_nand_sci_write_ptr,Current write pointer in the NAND CSIE science-image partition.,raw address,
Internal storage,52,416,0,32,U32,beac_csie_meta_nand_sci_write_ptr,csie_meta_nand_sci_write_ptr,Current write pointer in the NAND CSIE image-metadata partition.,raw address,
